Location,Date,Time,SiteName,Transect#,Genus ,NumberperTransect,Growthforms,Signs of abornmality,Types,Syndrome,Potential Syndrome - If disease,Other non disease potential ,Other potential non diseae Symptom,Comments,New Cat
Leleuvia ,11/25/2013,,LUSOH2,1,Acropora,70,T,0,,,,,,,H
Leleuvia ,11/25/2013,,LUSOH2,1,Montipora,1,B,3,PD,,,,,Smothered by algae,PD
Leleuvia ,11/25/2013,,LUSOH2,1,Montipora,2,E,3,PD,,,,,Smothered by algae,PD
Leleuvia ,11/25/2013,,LUSOH2,1,Hydnophora,2,B,3,PD,,,,,,PD
Leleuvia ,11/25/2013,,LUSOH2,1,Montipora,1,B,0,,,,,,,H
Leleuvia ,11/25/2013,,LUSOH2,1,Favites,4,E,3,PD,,,,,,PD
Leleuvia ,11/25/2013,,LUSOH2,1,Pocillopora,15,CC,3,PD,,,,,,PD
Leleuvia ,11/25/2013,,LUSOH2,1,Merulina,1,B,0,,,,,,,H
Leleuvia ,11/25/2013,,LUSOH2,1,Acropora,17,B,0,,,,,,,H
Leleuvia ,11/25/2013,,LUSOH2,1,Pavona,3,F,3,PD,,,,,,PD
Leleuvia ,11/25/2013,,LUSOH2,1,Galaxea,1,SM,3,PD,,,,,,PD
Leleuvia ,11/25/2013,,LUSOH2,1,Platygyra,3,M ,3,PD,,,,,,PD
Leleuvia ,11/25/2013,,LUSOH2,1,Acropora,17,T,3,PD,,,,,,PD
Leleuvia ,11/25/2013,,LUSOH2,1,Porites,29,SM,3,PD,,,,,,PD
Leleuvia ,11/25/2013,,LUSOH2,1,Goniopora,1,SM,3,PD,,,,,,PD
Leleuvia ,11/25/2013,,LUSOH2,1,Montipora,1,E,0,,,,,,,H
Leleuvia ,11/25/2013,,LUSOH2,1,Montipora,2,E,3,PD,,,,,,PD
Leleuvia ,11/25/2013,,LUSOH2,1,Echinopora,7,F,3,PD,,,,,,PD
Leleuvia ,11/25/2013,,LUSOH2,1,Acropora,12,B,3,PD,,,,,,PD
Leleuvia ,11/25/2013,,LUSOH2,1,Pocillopora,13,CC,0,,,,,,,H
Leleuvia ,11/25/2013,,LUSOH2,1,Diploastrea,6,M ,3,PD,,,,,,PD
Leleuvia ,11/25/2013,,LUSOH2,1,Goniastrea,17,SM,3,PD,,,,,Some tissue loss is caused by algal smothering ,PD
Leleuvia ,11/25/2013,,LUSOH2,1,Porites,6,M ,0,,,,,,,H
Leleuvia ,11/25/2013,,LUSOH2,1,Pavona,6,B,3,PD,,,,,,PD
Leleuvia ,11/25/2013,,LUSOH2,1,Porites,17,M ,3,PD,,,,,,PD
Leleuvia ,11/25/2013,,LUSOH2,1,Porites,17,B,0,,,,,,,H
Leleuvia ,11/25/2013,,LUSOH2,1,Goniastrea,1,M ,1,FB,FB,,Focal bleaching ,,,FB
Leleuvia ,11/25/2013,,LUSOH2,1,Porites,22,B,3,PD,,,,,,PD
Leleuvia ,11/25/2013,,LUSOH2,1,Goniastrea,13,SM,4,"E, PD",,,Eroded,,Partly dead with flat/other worm infestation,IG
Leleuvia ,11/25/2013,,LUSOH2,1,Pavona,8,SM,3,PD,,,,,,PD
Leleuvia ,11/25/2013,,LUSOH2,1,Porites,10,M ,1,"P, PD",P,,Predation,,Partly dead with fish bite marks,P
Leleuvia ,11/25/2013,,LUSOH2,1,Montipora,2,E,0,,,,,,,H
Leleuvia ,11/25/2013,,LUSOH2,1,Cyphastrea,1,SM,3,PD,,,,,,PD
Leleuvia ,11/25/2013,,LUSOH2,1,Goniastrea,2,M ,3,PD,,,,,,PD
Leleuvia ,11/25/2013,,LUSOH2,1,Pavona,1,F,0,,,,,,,H
Leleuvia ,11/25/2013,,LUSOH2,1,Platygyra,5,M ,3,PD,,,,,,PD
Leleuvia ,11/25/2013,,LUSOH2,1,Fungia,5,S,2,PR,PR,Pigmentation Response,,,Pink patches all over colony,PR
Leleuvia ,11/25/2013,,LUSOH2,1,Coscinaraea,1,SM,3,PD,,,,,,PD
Leleuvia ,11/25/2013,,LUSOH2,1,Stylophora,4,B,0,,,,,,,H
Leleuvia ,11/25/2013,,LUSOH2,1,Montipora,4,B,3,PD,,,,,,PD
Leleuvia ,11/25/2013,,LUSOH2,1,Acropora,12,D,0,,,,,,,H
Leleuvia ,11/25/2013,,LUSOH2,1,Acropora,1,B,1,"B, PD",B,,Bleaching ,,Partly dead with white patches on some branches,BL
Leleuvia ,11/25/2013,,LUSOH2,1,Acropora,3,B,1,WS,WS,White Syndrome,,,,WS
Leleuvia ,11/25/2013,,LUSOH2,1,Acropora,1,B,1,"P, GA, PD",P,,Predation,,Partly dead with GA and Drupella feeding signs,P
Leleuvia ,11/25/2013,,LUSOH2,1,Millepora,1,B,0,,,,,,,H
Leleuvia ,11/25/2013,,LUSOH2,1,Leptoria,5,SM,3,PD,,,,,Tissue loss looks like smothered by algae,PD
Leleuvia ,11/25/2013,,LUSOH2,1,Favites,6,SM,1,"B, PD",B,,Bleaching ,,Partly dead with bleaching,BL
Leleuvia ,11/25/2013,,LUSOH2,1,Porites,2,M ,4,"E, PD",,,Eroded,,Partly dead with think white line and white spots caused by ogranism infestation,IG
Leleuvia ,11/25/2013,,LUSOH2,1,Lobophyllia,2,M ,3,PD,,,,,,PD
Leleuvia ,11/25/2013,,LUSOH2,1,Acropora,1,B,1,FB,FB,,Focal Bleaching ,,,FB
Leleuvia ,11/25/2013,,LUSOH2,1,Montipora,3,SM,3,PD,,,,,,PD
Leleuvia ,11/25/2013,,LUSOH2,1,Galaxea,2,M ,3,PD,,,,,,PD
Leleuvia ,11/25/2013,,LUSOH2,1,Fungia,3,S,0,,,,,,,H
Leleuvia ,11/25/2013,,LUSOH2,1,Pavona,1,F,3,PD,,,,,,PD
Leleuvia ,11/25/2013,,LUSOH2,1,Porites,4,M ,1,P,P,,Predation,,Fish bite marks,P
Leleuvia ,11/25/2013,,LUSOH2,1,Stylophora,2,B,2,GA,GA,Growth Anomalies ,,,,GA
Leleuvia ,11/25/2013,,LUSOH2,1,Porites,1,SM,2,"PR, PD",PR,Pigmentation Response,,,Partly dead with pink patches over colony surface mainly near dead tissue,PR
Leleuvia ,11/25/2013,,LUSOH2,1,Acropora,1,B,2,GA,GA,,,,,GA
Leleuvia ,11/25/2013,,LUSOH2,1,Galaxea,2,E,0,,,,,,,H
